,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,TSLA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,795.35,,-42.95,-5.12%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"822,000M",162.29,2.04,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,TSLA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Oct 22, 2021",895.50,910.00,890.96,909.68,"22,880,835"
,"Oct 25, 2021",950.53,"1,045.02",944.20,"1,024.86","62,852,099"
,"Oct 26, 2021","1,024.69","1,094.94","1,001.44","1,018.43","62,414,968"
,"Oct 27, 2021","1,039.66","1,070.88","1,030.78","1,037.86","38,526,459"
,"Oct 28, 2021","1,068.31","1,081.00","1,054.20","1,077.04","27,213,173"
,"Oct 29, 2021","1,081.86","1,115.21","1,073.21","1,114.00","29,918,417"
,"Nov 1, 2021","1,145.00","1,209.75","1,118.66","1,208.59","56,048,716"
,"Nov 2, 2021","1,159.36","1,208.59","1,146.00","1,172.00","42,737,797"
,"Nov 3, 2021","1,177.33","1,215.39","1,152.62","1,213.86","34,628,519"
,"Nov 4, 2021","1,234.41","1,243.49","1,217.00","1,229.91","25,397,410"
,"Nov 5, 2021","1,228.00","1,239.87","1,208.00","1,222.09","21,628,812"
,"Nov 8, 2021","1,149.79","1,197.00","1,133.00","1,162.94","33,445,715"
,"Nov 9, 2021","1,173.60","1,174.50","1,011.52","1,023.50","59,105,836"
,"Nov 10, 2021","1,010.41","1,078.10",987.31,"1,067.95","42,802,722"
,"Nov 11, 2021","1,102.77","1,104.97","1,054.68","1,063.51","22,396,568"
,"Nov 12, 2021","1,047.50","1,054.50","1,019.20","1,033.42","25,573,148"
,"Nov 15, 2021","1,017.63","1,031.98",978.60,"1,013.39","34,775,649"
,"Nov 16, 2021","1,003.31","1,057.20","1,002.18","1,054.73","26,542,359"
,"Nov 17, 2021","1,063.51","1,119.64","1,055.50","1,089.01","31,445,365"
,"Nov 18, 2021","1,106.55","1,112.00","1,075.02","1,096.38","20,898,930"
,"Nov 19, 2021","1,098.87","1,138.72","1,092.70","1,137.06","21,642,258"
,"Nov 22, 2021","1,162.33","1,201.95","1,132.43","1,156.87","33,072,509"
,"Nov 23, 2021","1,167.51","1,180.50","1,062.70","1,109.03","36,171,700"
,"Nov 24, 2021","1,080.39","1,132.77","1,062.00","1,116.00","22,560,238"
,"Nov 26, 2021","1,099.47","1,108.78","1,081.00","1,081.92","11,680,890"
